relevancy_score,is_advertisement,is_rant_without_review
0.9,FALSE,FALSE
0.9,FALSE,FALSE
0.9,FALSE,FALSE
0.8,FALSE,FALSE
0.9,FALSE,FALSE
0.5,FALSE,FALSE
0,FALSE,FALSE
0.8,FALSE,FALSE
0.3,FALSE,FALSE
0.95,FALSE,FALSE
0.95,FALSE,FALSE
0.95,FALSE,FALSE
0.85,FALSE,FALSE
0.2,FALSE,FALSE
0.1,FALSE,FALSE
0.1,FALSE,FALSE
0.8,FALSE,FALSE
0.95,FALSE,FALSE
0.5,FALSE,FALSE
0.85,FALSE,FALSE
0.95,FALSE,FALSE
0,FALSE,FALSE
0.95,FALSE,FALSE
0.5,FALSE,FALSE
0.9,FALSE,FALSE
0.95,FALSE,FALSE
0.85,FALSE,FALSE
0.1,FALSE,FALSE
0.5,FALSE,FALSE
0.8,FALSE,FALSE
0.95,FALSE,FALSE
0.85,FALSE,FALSE
0.1,FALSE,FALSE
0.8,FALSE,FALSE
0.8,FALSE,FALSE
0.9,FALSE,FALSE
0.9,FALSE,FALSE
0.8,FALSE,FALSE
0.8,FALSE,FALSE
0.9,FALSE,FALSE
0.5,FALSE,FALSE
0.85,FALSE,FALSE
0.5,FALSE,FALSE
0.5,FALSE,FALSE
0.95,FALSE,FALSE
0.5,FALSE,FALSE
0.8,FALSE,FALSE
0.9,FALSE,FALSE
0.91,FALSE,FALSE
0.8,FALSE,FALSE
0.95,FALSE,FALSE
0.8,FALSE,FALSE
0.95,FALSE,FALSE
0.95,FALSE,FALSE
0.1,FALSE,FALSE
0,FALSE,FALSE
0.8,FALSE,FALSE
0.95,FALSE,FALSE
0.2,FALSE,FALSE
0.95,FALSE,FALSE
0,FALSE,FALSE
0.5,FALSE,FALSE
0.85,FALSE,FALSE
0.95,FALSE,FALSE
0.8,FALSE,FALSE
0.5,FALSE,FALSE
0.3,FALSE,FALSE
0.5,FALSE,FALSE
0.5,FALSE,FALSE
0.7,FALSE,FALSE
0.9,FALSE,FALSE
0.5,FALSE,FALSE
0.5,FALSE,FALSE
0.8,FALSE,FALSE
0.3,FALSE,FALSE
0.9,FALSE,FALSE
0.85,FALSE,FALSE
0,FALSE,FALSE
0.5,FALSE,FALSE
0.95,FALSE,FALSE
0.9,FALSE,FALSE
0.95,FALSE,FALSE
0.8,FALSE,FALSE
0.1,FALSE,FALSE
0,FALSE,FALSE
0.5,FALSE,FALSE
0.95,FALSE,FALSE
0.7,FALSE,FALSE
0.8,FALSE,FALSE
0.1,FALSE,FALSE
0.85,FALSE,FALSE
0.1,FALSE,FALSE
0.1,FALSE,FALSE
0.5,FALSE,FALSE
0.2,FALSE,FALSE
0.5,FALSE,FALSE
0.8,FALSE,FALSE
0.5,FALSE,FALSE
0,FALSE,FALSE
0.9,FALSE,FALSE
