text,label
Bad service. Ran out of jack daniels 20 minute wait to even order food right at the peak of tourist season. Bad management.,Negative
Nice cheaper prices always.,Positive
Not a bad store always full  always clean hope we dont loose our store,Positive
Very good device excellent  food,Positive
great place for pizza!,Positive
always for ham and cheese or mushroom and swiss!,Positive
"They were very helpful and really good pricing.
I am definitely a repeat customer.",Positive
"Super Guys @ Peerless
Highly Recommend",Positive
"I went here on the recommendation of a friend, because my car had a check engine light. He charged me a wopping $40 just to plug the machine in and get a reading. I should have gotten it done for free at O'Reilly's.",Negative
Best lamb korma and kheer that I've ever had. Absolutely delicious! The lunch buffet is also excellent.,Positive
Great.,Positive
Clean and the place was a very good experience,Positive
"Walked in and two employees were talking to each other. Neither one offered to help in the boot department. And it's not like they were busy, heck I was 1 of 2 in the store! Last time I was in there the gentlemen had no knowledge on the boots, NOTHING! Clean house, get some people that have knowledge of the products they sell",Negative
They are a warehouse storage unit place you have the wrong idea of what they do check your costumer info.,Negative
I had fun and found my dress thanks to Chung I enjoyed my time there she was very helpful and friendly and made the experience awesome.,Positive
Very beautiful country. I would've rather rode my motorcycle down it instead of driving my wife's car. A couple spots are pretty narrow but it was well worth the drive.,Positive
I love this book store.  So much in every category you can imagine.,Positive
Had a great first experience here. It's a very cozy atmosphere that is clean and all the employees are friendly.,Positive
Jason's team is always ready to help and give great insurance advice! I've never felt that they are just there to sell you.,Positive
"This hotel was as friendly comfortable and convenient as when we stayed 3 years ago.  Our schedule only allowed one night Hill City but we made sure to stay here.  It was a guaranteed night for relaxing and rest. This is a great location to stay when you are visiting all the lovely local sights.  Easy to get to Mount Rushmore, Crazy Horse, ride the steam train...even to use as a base if you want to go further afield to Rapid City, Chapel in the Hills, etc.",Positive
"Was really excited to eat here based on the website. The long wait, poor service and bad food didn’t live up to my expectations. The smoke jumper stout was good though.",Positive
Month unlimited wash is only 19.95,Negative
Average service average food,Positive
It was a dream come true for me!! It was the 50 anniversary - my grandmother came Norway I had heard stories and seen pictures of chapels in Norway.  It is something I will carry with me forever.  If you have Norwegian heredity it is a must place you must see.  The beauty the reverence of what truly God is.,Positive
Excellent food and very good service.,Positive
"Great management; I feel like they actually know me as a person, not just a paying tenant. Maintenance is quick and efficient. Its quieter than most apartments I've lived in. Apartments have great layout and feel comfortable.

I move a lot for my job, but every time I come back to Rapid, this is my top choice to call home.",Positive
The bears were hilarious to watch and didn't care about the cars around,Negative
I was lucky. Got loaded in 1 h. Good.,Positive
"The staff were courteous, very nice and did everything they could to help us book an affordable room. Rooms are immaculate.",Positive
Great place for breakfast.  And the carrot cake is divine.,Positive
Nice course on the river. Staff was friendly and a round of golf was reasonable.,Positive
Cashier was extremely helpful. I have food allergies and she was very accommodating.,Positive
"Great price, great location and very helpful staff",Positive
Lots of places to paint,Positive
We went for dinner.  We all had hamburgers.   One of the place my son will eat fries.  Madison was our server tonight.   Great service and everything was cooked correctly.,Positive
Great place to locate gard to find items,Positive
"I wouldn't give this place a one out of five if it was possible. First sign was walking in to the building by our room the exterior door is broken so anyone can get in. I uploaded some pictures of my room. I found the reason why it says absolutely no refunds on rooms. This place is a sh!+ Hole. Bathroom is disgusting. Blood stains on the curtains. Stains on bed sheets. Burned out light bulbs. Wire coming out of light fixtures. Bed mounting bolts are pulled out of the wall. The bathroom faucet is missing the airator, so it blasts water all over when turned on. The bathroom floors are dirty. Bathroom towel rack is broken and falling down. Curtains are falling off of the rods and pulling away from the wall. TV is old and a little on the small side. Hallway smells like cigarette smoke. Bed is under par worse than sleeping on a crappy futon, atleast there are three small couch pillows. Shower is small about the size of an RV shower. To top it off there is no hot water in the shower Don't waste your time or money! You will want to leave but you won't even get your money back. Boycott this place.",Negative
Terrible rude. Lied about state law to wear mask. Will never come back,Negative
Great selection of shops.,Positive
"Basically a one stop shop for about anything. Prices aren't anything to brag about, but it's nice to just have to make one stop.",Positive
"Fantastic pizza. Great marinara sauce and crust. Had ""Luigi's Hidden Star"", dang so good. Had a little difficulty finding it as it is behind the location that game up on Google navigation.",Positive
Good food...Nice atmosphere...Great service. They have a varied variety of food including buffalo and wagyu beef.,Positive
Free & fun for kids,Positive
