relevancy_score,is_advertisement,is_rant_without_review
0.9,False,False
1.0,False,False
0.8,False,False
0.8,False,True
0.0,False,True
0.8,False,False
0.2,False,True
0.2,False,False
0.4,False,False
0.9,False,False
1.0,False,False
0.0,False,True
1.0,False,False
0.2,False,False
0.0,False,True
0.0,False,True
0.9,False,False
1.0,False,False
0.4,False,False
0.9,False,False
0.9,False,False
0.2,False,False
0.2,False,False
0.2,False,True
0.9,False,True
0.8,False,False
0.8,False,False
0.0,False,True
0.8,False,False
1.0,False,False
0.9,False,False
0.8,False,False
0.8,False,False
0.6,False,False
0.8,False,False
0.9,False,False
0.2,False,False
0.4,False,True
0.8,False,False
0.8,False,False
0.8,False,False
0.8,False,False
0.4,False,False
0.8,False,False
0.2,False,False
0.2,False,False
0.2,False,False
0.9,False,False
0.2,True,False
0.8,False,False
0.8,False,False
0.8,False,False
1.0,False,False
0.0,False,True
0.0,False,True
0.0,False,True
0.4,False,False
0.9,False,False
0.2,False,False
0.2,False,False
0.0,False,True
0.6,False,False
0.9,False,False
0.2,False,False
0.8,False,False
0.8,False,False
0.0,False,True
0.4,False,False
0.2,False,False
0.8,False,False
1.0,False,False
0.2,False,False
0.8,False,False
0.8,False,False
0.2,False,False
0.0,False,True
0.8,False,False
0.2,False,False
0.2,False,True
1.0,False,False
0.2,False,False
0.8,False,False
0.2,False,False
0.0,False,True
0.0,False,True
0.6,False,False
0.8,False,False
0.8,False,False
0.2,False,False
0.8,False,False
0.8,False,False
0.0,False,True
0.4,False,False
0.0,False,True
1.0,False,False
0.8,False,False
0.8,False,False
0.2,False,False
0.1,False,True
0.2,False,False
